date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:47:05	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2027%20Feb%202026%2014:47:06%20GMT	http://tasarimussu.com.tr/robots.txt		(from )
17:47:06	4178/4178	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Feb%202026%2014:47:07%20GMT	http://tasarimussu.com.tr/	C:/Users/boraa/Desktop/Tasarimussu%20Copy%20V2/Tasarimussu%20Copy%20V2/tasarimussu.com.tr/index.html	(from )
17:47:06	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2027%20Feb%202026%2014:47:07%20GMT	http://tasarimussu.com.tr/favicon.ico	C:/Users/boraa/Desktop/Tasarimussu%20Copy%20V2/Tasarimussu%20Copy%20V2/tasarimussu.com.tr/favicon.ico	(from http://tasarimussu.com.tr/)
17:47:07	441/441	---M--	200	added ('OK')	image/png	date:Mon,%2028%20Sep%202020%2011:10:19%20GMT	http://tasarimussu.com.tr/img/menu_bckg.png	C:/Users/boraa/Desktop/Tasarimussu%20Copy%20V2/Tasarimussu%20Copy%20V2/tasarimussu.com.tr/img/menu_bckg.png	(from http://tasarimussu.com.tr/)
17:47:07	4492/4492	---M--	200	added ('OK')	image/png	date:Mon,%2028%20Sep%202020%2011:10:20%20GMT	http://tasarimussu.com.tr/img/logo.png	C:/Users/boraa/Desktop/Tasarimussu%20Copy%20V2/Tasarimussu%20Copy%20V2/tasarimussu.com.tr/img/logo.png	(from http://tasarimussu.com.tr/)
17:47:07	6664/6664	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Feb%202026%2014:47:08%20GMT	http://tasarimussu.com.tr/haberler_bizden.php	C:/Users/boraa/Desktop/Tasarimussu%20Copy%20V2/Tasarimussu%20Copy%20V2/tasarimussu.com.tr/haberler_bizden.html	(from http://tasarimussu.com.tr/)
17:47:07	923/923	---M--	200	added ('OK')	image/png	date:Mon,%2028%20Sep%202020%2011:10:18%20GMT	http://tasarimussu.com.tr/img/index_TR.png	C:/Users/boraa/Desktop/Tasarimussu%20Copy%20V2/Tasarimussu%20Copy%20V2/tasarimussu.com.tr/img/index_TR.png	(from http://tasarimussu.com.tr/)
17:47:07	97/97	---M--	200	added ('OK')	image/gif	date:Mon,%2028%20Sep%202020%2011:10:19%20GMT	http://tasarimussu.com.tr/img/menu_placeholder.gif	C:/Users/boraa/Desktop/Tasarimussu%20Copy%20V2/Tasarimussu%20Copy%20V2/tasarimussu.com.tr/img/menu_placeholder.gif	(from http://tasarimussu.com.tr/)
17:47:08	6564/6564	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Feb%202026%2014:47:09%20GMT	http://tasarimussu.com.tr/en/haberler_bizden.php	C:/Users/boraa/Desktop/Tasarimussu%20Copy%20V2/Tasarimussu%20Copy%20V2/tasarimussu.com.tr/en/haberler_bizden.html	(from http://tasarimussu.com.tr/)
17:47:08	43915/43915	---M--	200	added ('OK')	image/jpeg	date:Mon,%2028%20Sep%202020%2011:10:20%20GMT	http://tasarimussu.com.tr/img/ggANI0544.jpg	C:/Users/boraa/Desktop/Tasarimussu%20Copy%20V2/Tasarimussu%20Copy%20V2/tasarimussu.com.tr/img/ggANI0544.jpg	(from http://tasarimussu.com.tr/)
17:47:08	933/933	---M--	200	added ('OK')	image/png	date:Mon,%2028%20Sep%202020%2011:10:21%20GMT	http://tasarimussu.com.tr/img/index_EN.png	C:/Users/boraa/Desktop/Tasarimussu%20Copy%20V2/Tasarimussu%20Copy%20V2/tasarimussu.com.tr/img/index_EN.png	(from http://tasarimussu.com.tr/)
17:47:09	2244/2244	---M-Z	200	added ('OK')	text/css	date:Mon,%2028%20Sep%202020%2011:10:27%20GMT	http://tasarimussu.com.tr/src/layout.css	C:/Users/boraa/Desktop/Tasarimussu%20Copy%20V2/Tasarimussu%20Copy%20V2/tasarimussu.com.tr/src/layout.css	(from http://tasarimussu.com.tr/haberler_bizden.php)
17:47:09	2484/2484	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262c2a2ad-9b4%22	http://widget.supercounters.com/texthit.js	C:/Users/boraa/Desktop/Tasarimussu%20Copy%20V2/Tasarimussu%20Copy%20V2/widget.supercounters.com/texthit.js	(from http://tasarimussu.com.tr/)
17:47:09	917/917	---M-Z	200	added ('OK')	text/css	date:Mon,%2028%20Sep%202020%2011:10:27%20GMT	http://tasarimussu.com.tr/src/general.css	C:/Users/boraa/Desktop/Tasarimussu%20Copy%20V2/Tasarimussu%20Copy%20V2/tasarimussu.com.tr/src/general.css	(from http://tasarimussu.com.tr/haberler_bizden.php)
17:47:09	1691/1691	---M-Z	200	added ('OK')	text/css	date:Mon,%2028%20Sep%202020%2011:10:27%20GMT	http://tasarimussu.com.tr/src/slides.css	C:/Users/boraa/Desktop/Tasarimussu%20Copy%20V2/Tasarimussu%20Copy%20V2/tasarimussu.com.tr/src/slides.css	(from http://tasarimussu.com.tr/haberler_bizden.php)
17:47:09	1584/1584	---M-Z	200	added ('OK')	text/css	date:Mon,%2028%20Sep%202020%2011:10:27%20GMT	http://tasarimussu.com.tr/src/perfect-scrollbar.css	C:/Users/boraa/Desktop/Tasarimussu%20Copy%20V2/Tasarimussu%20Copy%20V2/tasarimussu.com.tr/src/perfect-scrollbar.css	(from http://tasarimussu.com.tr/haberler_bizden.php)
17:47:10	3982/3982	---M-Z	200	added ('OK')	text/css	date:Mon,%2028%20Sep%202020%2011:10:13%20GMT	http://tasarimussu.com.tr/dist/lity.css	C:/Users/boraa/Desktop/Tasarimussu%20Copy%20V2/Tasarimussu%20Copy%20V2/tasarimussu.com.tr/dist/lity.css	(from http://tasarimussu.com.tr/haberler_bizden.php)
17:47:10	2401/2401	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2028%20Sep%202020%2011:10:27%20GMT	http://tasarimussu.com.tr/src/jquery.mousewheel.js	C:/Users/boraa/Desktop/Tasarimussu%20Copy%20V2/Tasarimussu%20Copy%20V2/tasarimussu.com.tr/src/jquery.mousewheel.js	(from http://tasarimussu.com.tr/haberler_bizden.php)
